time,mean_response_time
0,0.0
300,13.638919697625528
600,16.55642581173296
900,18.044072612378283
1200,19.18868940699683
1500,19.756515461541944
1800,20.403964788528143
2100,21.0844334324448
2400,21.60664780370317
2700,22.103746252462823
3000,22.230743477014386
3300,22.19658062522408
3600,22.24446285264934
3900,22.308702975109792
4200,22.431520644447854
4500,22.456478255813945
4800,22.514467203036705
5100,22.80069561897112
5400,23.008248455796465
5700,23.142927531054447
6000,23.306739244623742
6300,23.40549971498199
6600,23.36112988766765
6900,23.3216990203983
7200,23.28006318714254
7500,23.260216185522744
7800,23.181496133849066
8100,23.163960865509015
8400,23.165809711774667
8700,23.217949897458627
9000,23.286371908995417
9300,23.318460546506312
9600,23.340696374340986
9900,23.366600717228078
10200,23.40596754496127
10500,23.475446218616455
10800,23.52533450784893
11100,23.617868195707544
11400,23.756428233998836
11700,23.912485714619223
12000,23.980600285699953
12300,24.055868057619787
12600,24.09138475887374
12900,24.076538405225314
13200,24.10251759907227
13500,24.13054452803512
13800,24.192773211196968
14100,24.257520572518917
14400,24.276203945116844
14700,24.29123873405867
15000,24.335153410785217
15300,24.41400073000467
15600,24.42564942795199
15900,24.41340553251499
16200,24.41099716234837
16500,24.447927445427425
16800,24.46820172904302
17100,24.4931847962599
17400,24.519837771102676
17700,24.563844382377447
18000,24.611483155776515
18300,24.653931393720107
18600,24.721155233153596
18900,24.786092712174398
19200,24.837118384594216
19500,24.872805700633556
19800,24.90501483327267
20100,24.925131429387633
20400,24.971315672329528
20700,25.007806689435405
21000,25.030160586451025
21300,25.061665754754173
21600,25.096280184262405
21900,25.115794749489748
22200,25.157167407977834
22500,25.20338149693233
22800,25.215638528493148
23100,25.22521492003373
23400,25.232201923526233
23700,25.2234817413321
24000,25.2198708683572
24300,25.21091046619773
24600,25.19528338915973
24900,25.175278060091447
25200,25.161269997343464
25500,25.17229507475757
25800,25.181285868740392
26100,25.194861338472432
26400,25.228897921714864
26700,25.270664192164897
27000,25.29627075064991
27300,25.312976243805693
27600,25.31027229079871
27900,25.297021115162313
28200,25.278055272189505
28500,25.282768591350937
28800,25.30527976979405
29100,25.33670473271759
29400,25.349416245322047
29700,25.354380186948436
30000,25.346973238379146
30300,25.346177726440036
30600,25.33825352897358
30900,25.325346616248535
31200,25.330294788157076
31500,25.315941652492707
31800,25.305186296371474
32100,25.302648030739388
32400,25.303821457796314
32700,25.28692280407322
33000,25.26763410528614
33300,25.250799992121724
33600,25.22320059497847
33900,25.213006232249214
34200,25.198142799350183
34500,25.180307966283106
34800,25.163035250322334
35100,25.146560674744066
35400,25.145663070561696
35700,25.136904411537248
36000,25.123630400801872
36300,25.11058662324293
36600,25.105596847673205
36900,25.09732629201679
37200,25.08727883556691
37500,25.083348061732657
37800,25.0975175556633
38100,25.123236270255635
38400,25.128976450049898
38700,25.145110468989706
39000,25.163980357413855
39300,25.19527709117714
39600,25.21780300740911
39900,25.223482808790422
40200,25.227521862108777
40500,25.228502113042993
40800,25.222296045706745
41100,25.22945092276873
41400,25.230850183215438
41700,25.23509298347559
42000,25.24181820670698
42300,25.24372278787426
42600,25.234997453831138
42900,25.230716134428132
43200,25.226493513517493
43500,25.207234935230222
43800,25.203364329947128
44100,25.211043613592715
44400,25.21419185940226
44700,25.213784490844255
45000,25.210752162088358
45300,25.222076005556303
45600,25.217856504156696
45900,25.215510388687413
46200,25.217552017037097
46500,25.216051007623157
46800,25.203082129503205
47100,25.20118375562963
47400,25.202759948456375
47700,25.211500571246955
48000,25.220832524540306
48300,25.228458357577843
48600,25.241312687767756
48900,25.245747268492924
49200,25.24520766417517
49500,25.243651312952593
49800,25.239736526853218
50100,25.23173525227263
50400,25.2308065678756
50700,25.22362056137914
51000,25.209832602537595
51300,25.196903880703495
51600,25.178692772718396
51900,25.171272936020554
52200,25.173570528853503
52500,25.174699291434198
52800,25.18343735039298
53100,25.189745696347803
53400,25.19139068916372
53700,25.19653435076974
54000,25.18921493705373
54300,25.177272946924358
54600,25.15947628272778
54900,25.140376059892827
55200,25.124730173768814
55500,25.11034800076728
55800,25.105429039342358
56100,25.11316554277543
56400,25.12111792333307
56700,25.128736629483733
57000,25.138846609031518
57300,25.153623745735953
57600,25.16441851514899
57900,25.165941470960284
58200,25.16430528009095
58500,25.167790346963287
58800,25.17833572867334
59100,25.187211659300555
59400,25.183580860638916
59700,25.17499511034353
60000,25.165169799899445
60300,25.16544567475392
60600,25.164820305916507
60900,25.15967657323403
61200,25.158070005771577
61500,25.14876414634228
61800,25.13644465850242
62100,25.123626915050497
62400,25.111337113600534
62700,25.10716419620171
63000,25.1118911970171
63300,25.12183534261639
63600,25.130895944633554
63900,25.137303555250213
64200,25.13843471078594
64500,25.147073607280493
64800,25.153966228684887
65100,25.159805589887327
65400,25.15990978918655
65700,25.16529171441488
66000,25.164991476254702
66300,25.168671069264555
66600,25.170909105708937
66900,25.167201715058834
67200,25.15460458998201
67500,25.15105299165827
67800,25.153632083596587
68100,25.160826190235856
68400,25.168039955529203
68700,25.16776863884058
69000,25.16104315624188
69300,25.161379548261042
69600,25.1586136640342
69900,25.156241215536003
70200,25.156573187207027
70500,25.16116152469186
70800,25.169289011284377
71100,25.174099661716607
71400,25.16793401587011
71700,25.156493687811373
72000,25.154560428226805
